query_id,adaptive_candidate_id,oracle_candidate_id,adaptive_candidate_f1,oracle_f1,selection_regret,zero_regret,oracle_agreement
5725c69738643c19005accbb,bge_small_c512_k3,minilm_c256_k5,0.9090909090909091,0.9090909090909091,0.0,1.0,0.0
5725c743ec44d21400f3d54c,bge_small_c256_k5,minilm_c256_k3,0.4444444444444445,0.5,0.055555555555555525,0.0,0.0
5725c948ec44d21400f3d577,bge_small_c256_k3,bge_small_c256_k5,0.3157894736842105,0.4444444444444445,0.12865497076023397,0.0,0.0
5725cb33271a42140099d1df,bge_small_c256_k5,bge_small_c512_k5,0.18181818181818182,0.2857142857142857,0.10389610389610388,0.0,0.0
5725cb4a89a1e219009abecc,bge_small_c512_k5,minilm_c256_k3,0.6666666666666666,1.0,0.33333333333333337,0.0,0.0
5725ce4d38643c19005acd4f,bge_small_c256_k3,bge_small_c256_k3,0.5,0.5,0.0,1.0,1.0
5725ceb989a1e219009abf0e,bge_small_c256_k5,minilm_c512_k5,1.0,1.0,0.0,1.0,0.0
5725d34089a1e219009abf51,bge_small_c256_k3,minilm_c256_k3,0.56,0.6666666666666667,0.10666666666666669,0.0,0.0
5725d61038643c19005acdd5,bge_small_c512_k5,minilm_c256_k3,1.0,1.0,0.0,1.0,0.0
5725d662ec44d21400f3d68b,bge_small_c512_k3,minilm_c256_k3,0.33333333333333337,1.0,0.6666666666666666,0.0,0.0
5725dd1689a1e219009abfe3,bge_small_c512_k3,minilm_c256_k3,0.9523809523809523,1.0,0.04761904761904767,0.0,0.0
5725e28f38643c19005ace24,bge_small_c512_k3,minilm_c256_k3,1.0,1.0,0.0,1.0,0.0
5725e36f89a1e219009ac03c,bge_small_c256_k3,minilm_c256_k5,0.33333333333333337,0.8,0.4666666666666667,0.0,0.0
5725e44238643c19005ace36,bge_small_c256_k3,minilm_c256_k3,1.0,1.0,0.0,1.0,0.0
5725eb8a38643c19005ace7f,bge_small_c256_k5,bge_small_c256_k5,0.3157894736842105,0.3157894736842105,0.0,1.0,1.0
5725edfe38643c19005acea1,bge_small_c256_k3,minilm_c256_k5,0.19999999999999998,0.19999999999999998,0.0,1.0,0.0
5725ee6438643c19005aceb4,minilm_c512_k5,minilm_c256_k3,0.0,0.0,0.0,1.0,0.0
5725f39638643c19005acefa,bge_small_c512_k3,bge_small_c256_k3,0.0,1.0,1.0,0.0,0.0
5725ff8238643c19005acf4a,bge_small_c256_k3,minilm_c256_k3,0.3636363636363636,0.3636363636363636,0.0,1.0,0.0
57261f9f271a42140099d4ab,bge_small_c256_k3,minilm_c512_k3,0.5,1.0,0.5,0.0,0.0
5726241189a1e219009ac2de,bge_small_c256_k3,minilm_c256_k3,0.05405405405405406,0.25,0.19594594594594594,0.0,0.0
5726385e271a42140099d799,bge_small_c512_k5,minilm_c512_k3,0.6666666666666667,1.0,0.33333333333333326,0.0,0.0
